Loaded plugins: fastestmirror
Determining fastest mirrors
Installed Packages
dbus-libs.x86_64                    1:1.6.12-11.el7        @anaconda            
dbus-python.x86_64                  1.1.1-9.el7            @anaconda            
dejagnu.noarch                      1:1.5.1-3.el7          @base                
dejavu-fonts-common.noarch          2.33-6.el7             @base                
dejavu-sans-fonts.noarch            2.33-6.el7             @base                
dejavu-sans-mono-fonts.noarch       2.33-6.el7             @base                
desktop-file-utils.x86_64           0.22-1.el7             @base                
device-mapper.x86_64                7:1.02.93-3.el7        @anaconda            
device-mapper-event.x86_64          7:1.02.93-3.el7        @anaconda            
device-mapper-event-libs.x86_64     7:1.02.93-3.el7        @anaconda            
device-mapper-libs.x86_64           7:1.02.93-3.el7        @anaconda            
device-mapper-persistent-data.x86_64
                                    0.4.1-2.el7            @anaconda            
dhclient.x86_64                     12:4.2.5-42.el7.centos @base                
dhcp-common.x86_64                  12:4.2.5-42.el7.centos @base                
dhcp-libs.x86_64                    12:4.2.5-42.el7.centos @base                
diffstat.x86_64                     1.57-4.el7             @base                
diffutils.x86_64                    3.3-4.el7              @anaconda            
dmidecode.x86_64                    1:2.12-5.el7           @anaconda            
dnsmasq.x86_64                      2.66-12.el7            @anaconda            
dosfstools.x86_64                   3.0.20-9.el7           @base                
doxygen.x86_64                      1:1.8.5-3.el7          @base                
dracut.x86_64                       033-360.el7_2.1        @centos7-x86_64-update
dracut-config-rescue.x86_64         033-360.el7_2.1        @centos7-x86_64-update
dracut-network.x86_64               033-360.el7_2.1        @centos7-x86_64-update
dwz.x86_64                          0.11-3.el7             @base                
dyninst.x86_64                      8.2.0-2.el7            @base                
e2fsprogs.x86_64                    1.42.9-7.el7           @anaconda            
e2fsprogs-libs.x86_64               1.42.9-7.el7           @anaconda            
ebtables.x86_64                     2.0.10-13.el7          @anaconda            
ed.x86_64                           1.9-4.el7              @base                
elfutils.x86_64                     0.163-3.el7            @base                
elfutils-libelf.x86_64              0.163-3.el7            @base                
elfutils-libs.x86_64                0.163-3.el7            @base                
emacs.x86_64                        1:24.3-18.el7          @base                
emacs-common.x86_64                 1:24.3-18.el7          @base                
emacs-filesystem.noarch             1:24.3-18.el7          @base                
enchant.x86_64                      1:1.6.0-8.el7          @base                
environment-modules.x86_64          3.2.10-10.el7          @base                
epstool.x86_64                      3.08-4.el7             @epel7               
ethtool.x86_64                      2:3.15-2.el7           @anaconda            
expat.x86_64                        2.1.0-8.el7            @anaconda            
expat-devel.x86_64                  2.1.0-8.el7            @base                
expect.x86_64                       5.45-14.el7_1          @base                
facter.x86_64                       1:2.4.6-1.el7          @puppetlabs-products 
fftw-libs-double.x86_64             3.3.3-8.el7            @base                
fftw-libs-single.x86_64             3.3.3-8.el7            @base                
file.x86_64                         5.11-31.el7            @base                
file-libs.x86_64                    5.11-31.el7            @base                
filesystem.x86_64                   3.2-18.el7             @anaconda            
findutils.x86_64                    1:4.5.11-3.el7         @anaconda            
fipscheck.x86_64                    1.4.1-5.el7            @anaconda            
fipscheck-lib.x86_64                1.4.1-5.el7            @anaconda            
firewalld.noarch                    0.3.9-11.el7           @anaconda            
